date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2024-10-11,121.9008690724148,123.14203614643314,119.49830780977852,120.61537170410156,4278696,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.011619155350908628,120.01250457763672,-0.00501079423699391,0,2024-09-30,2023-12-31
2024-10-14,121.28028059879348,121.45758824104942,119.6844847630779,120.01250457763672,1370755,-0.3333333333333333,-0.3333333333333333,1,0,1,0,0.149651,-0.715838,-0.00501079423699391,121.67921447753906,0.013792250121932526,1,2024-09-30,2023-12-31
2024-10-15,119.90611117003394,122.32639339702112,119.3387186527405,121.67921447753906,674825,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.013792250121932526,119.54263305664062,-0.017715122561274832,0,2024-09-30,2023-12-31
2024-10-16,122.29980950180725,123.67396740068943,118.80679349107524,119.54263305664062,2452858,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.017715122561274832,118.86885833740234,-0.005652215076415779,0,2024-09-30,2023-12-31
2024-10-17,120.34939811258978,120.34939811258978,117.24646703786372,118.86885833740234,1650771,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.005652215076415779,118.81566619873048,-0.00044758605688599573,0,2024-09-30,2023-12-31
2024-10-18,117.25532650202464,119.64015281125324,116.67021264346572,118.81566619873048,1812545,0.0,0.0,0,0,0,0,0.149651,-0.715838,-0.00044758605688599573,119.87953186035156,0.008914068777935213,1,2024-09-30,2023-12-31
2024-10-21,118.81567243799934,120.1100304514208,118.35466172815433,119.87953186035156,1067275,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.008914068777935213,119.93272399902344,0.000443614854908958,1,2024-09-30,2023-12-31
2024-10-22,119.86179823313138,122.34414592852688,119.7820118193928,119.93272399902344,1433632,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.000443614854908958,123.00019073486328,0.02525495383421994,1,2024-09-30,2023-12-31
2024-10-23,120.50010838644714,123.5143923567582,119.2412065649964,123.00019073486328,3975976,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.02525495383421994,126.20437622070312,0.025716720312418673,1,2024-09-30,2023-12-31
2024-10-24,125.03590282103278,127.70148363461207,123.23754639996326,126.20437622070312,4238144,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.025716720312418673,126.6790542602539,0.0037541296884260333,1,2024-09-30,2023-12-31
2024-10-25,125.20019444904013,127.5645398370123,125.20019444904013,126.6790542602539,3277897,0.0,0.0,0,0,0,0,0.149651,-0.715838,0.0037541296884260333,127.67407989501952,0.007824009827520406,1,2024-09-30,2023-12-31
